Larus atricilla
Larus crassirostris
Larus dominicanus
Larus novaehollandiae
Larus pacificus
Larus pipixcan
Larus ridibundus
Lathamus discolor
Leipoa ocellata
Leucosarcia melanoleuca
Lichenostomus chrysops
Lichenostomus cratitius
Lichenostomus fasciogularis
Lichenostomus flavicollis
Lichenostomus flavus
Lichenostomus fuscus
Lichenostomus keartlandi
Lichenostomus leucotis
Lichenostomus melanops
Lichenostomus penicillatus
Lichenostomus versicolor
Lichenostomus virescens
Lichmera indistincta
Limicola falcinellus
Limnodromus semipalmatus
Limosa haemastica
Limosa lapponica
Limosa limosa
Lonchura castaneothorax
Lonchura oryzivora
Lonchura punctulata
Lophoictinia isura
Lopholaimus antarcticus
Macronectes giganteus
Macronectes halli
Macropygia amboinensis
Malacorhynchus membranaceus
Malurus amabilis
Malurus cyaneus
Malurus elegans
Malurus lamberti
Malurus leucopterus
Malurus melanocephalus
Malurus splendens
Manorina flavigula
Manorina melanocephala
Manorina melanophrys
Megalurus gramineus
Megalurus timoriensis
Megapodius reinwardt
Melanodryas cucullata
Melanodryas vittata
Meleagris gallopavo
Meliphaga gracilis
Meliphaga lewinii
Meliphaga notata
Melithreptus affinis
Melithreptus albogularis
Melithreptus gularis
Melithreptus lunatus
Melithreptus validirostris
Melopsittacus undulatus
Menura alberti
Menura novaehollandiae
Merops ornatus
Microeca fascinans
Microeca flavigaster
Micropalama himantopus
Milvus migrans
Mirafra javanica
Monarcha leucotis
Monarcha trivirgatus
Monticola solitarius
Morus capensis
Morus serrator
Motacilla alba
Motacilla cinerea
Motacilla citreola
Motacilla flava
Motacilla lugens
Myiagra alecto
Myiagra cyanoleuca
Myiagra inquieta
Myiagra rubecula
Myiagra ruficollis
Myzomela erythrocephala
Myzomela obscura
Myzomela sanguinolenta
Nectarinia jugularis
Neochmia modesta
Neochmia phaeton
Neochmia ruficauda
Neochmia temporalis
Neophema chrysogaster
Neophema chrysostoma
Neophema elegans
Neophema petrophila
Neophema pulchella
Neophema splendida
Neopsephotus bourkii
Nettapus coromandelianus
Nettapus pulchellus
Ninox connivens
Ninox novaeseelandiae
Ninox rufa
Ninox scutulata
Ninox strenua
Northiella haematogaster
Numenius madagascariensis
Numenius minutus
Numenius phaeopus
Nycticorax caledonicus
Nycticorax nycticorax
Nymphicus hollandicus
Oceanites oceanicus
Oceanodroma leucorhoa
Ocyphaps lophotes
Oreoica gutturalis
Origma solitaria
Oriolus flavocinctus
Oriolus sagittatus
Orthonyx temminckii
Oxyura australis
Pachycephala melanura
Pachycephala olivacea
Pachycephala pectoralis
Pachycephala rufiventris
Pachycephala simplex
Pachyptila belcheri
Pachyptila desolata
Pachyptila turtur
Pagodroma nivea
Pandion haliaetus
Papasula abbotti
Pardalotus punctatus
Pardalotus quadragintus
Pardalotus rubricatus
Pardalotus striatus
Passer domesticus
Passer montanus
Pavo cristatus
Pelagodroma marina
Pelecanus conspicillatus
Peneoenanthe pulverulenta
Petrochelidon ariel
Petrochelidon nigricans
Petroica boodang
Petroica goodenovii
Petroica phoenicea
Petroica rodinogaster
Petroica rosea
Pezoporus wallicus
Phaethon lepturus
Phaethon rubricauda
Phalacrocorax carbo
Phalacrocorax fuscescens
Phalacrocorax melanoleucos
Phalacrocorax sulcirostris
Phalacrocorax varius
Phalaropus fulicaria
Phalaropus lobatus
Phaps chalcoptera
Phaps elegans
Phaps histrionica
Phasianus colchicus
Philemon buceroides
Philemon citreogularis
Philemon corniculatus
Philomachus pugnax
Phoebastria immutabilis
Phoebetria fusca
Phoebetria palpebrata
Phylidonyris nigra
Phylidonyris novaehollandiae
Phylidonyris pyrrhoptera
Phylloscopus borealis
Pitta erythrogaster
Pitta iris
Pitta moluccensis
Pitta versicolor
Platalea flavipes
Platalea regia
Platycercus adscitus
Platycercus caledonicus
Platycercus elegans
Platycercus eximius
Platycercus icterotis
Platycercus venustus
Plectorhyncha lanceolata
Plegadis falcinellus
Pluvialis fulva
Pluvialis squatarola
Podargus ocellatus
Podargus papuensis
Podargus strigoides
Podiceps cristatus
Poecilodryas albispecularis
Poecilodryas superciliosa
Poephila acuticauda
Poephila cincta
Poephila personata
Poliocephalus poliocephalus
Polytelis alexandrae
Polytelis anthopeplus
Polytelis swainsonii
Pomatostomus halli
Pomatostomus ruficeps
Pomatostomus superciliosus
Pomatostomus temporalis
Porphyrio porphyrio
Porzana cinerea
Porzana fluminea
Porzana fusca
Porzana pusilla
Porzana tabuensis
Probosciger aterrimus
Procellaria aequinoctialis
Procellaria parkinsoni
Procellaria westlandica
Procelsterna albivitta
Psephotus chrysopterygius
Psephotus dissimilis
Psephotus haematonotus
Psephotus varius
Pseudobulweria rostrata
Psitteuteles versicolor
Psophodes occidentalis
Psophodes olivaceus
Pterodroma cervicalis
Pterodroma cookii
Pterodroma inexpectata
Pterodroma macroptera
Pterodroma neglecta
Pterodroma solandri
Ptilinopus magnificus
Ptilinopus regina
Ptilinopus superbus
Ptilonorhynchus violaceus
Ptiloris victoriae
Puffinus bulleri
Puffinus carneipes
Puffinus creatopus
Puffinus gavia
Puffinus gravis
Puffinus griseus
Puffinus huttoni
Puffinus lherminieri
Puffinus pacificus
Puffinus puffinus
Puffinus tenuirostris
